Data Point Used in Publication,Time stamp,Year,Day number,Month,Day of month,Hour,GHI [W/m2],DNI [W/m2],DHI [W/m2],Sun azimuth (deg),Sun zenith (deg),Tracker Angle [deg],Air Mass,Temperature (C),windspeed [m/s],Bifacial energy yield NOCT [Wh],Bifacial energy yield Faiman [Wh],Bifacial energy yield Sandia [Wh],"Average POA rear irradiance, NOC, no IAM [W/m2]","Average POA rear irradiance, with IAM [W/m2]",Bifacial energy yield NOCT [Wh],Bifacial energy yield Faiman [Wh],Bifacial energy yield Sandia [Wh],"Average POA rear irradiance, no IAM [W/m2]","Average POA rear irradiance, with IAM [W/m2]",Bifacial energy yield NOCT [Wh],Bifacial energy yield Faiman [Wh],Bifacial energy yield Sandia [Wh],"Average POA rear irradiance, no IAM [W/m2]","Average POA rear irradiance, with IAM [W/m2]",Bifacial energy yield NOCT [Wh],Bifacial energy yield Faiman [Wh],Bifacial energy yield Sandia [Wh],"Average POA rear irradiance, no IAM [W/m2]","Average POA rear irradiance, with IAM [W/m2]","Average POA rear irradiance , no IAM [W/m2]","Average POA rear irradiance , no IAM [W/m2]"
0,0,2020,1,1,1,0.5,0,0,0,173.6470807,147.2355062,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2020,1,1,1,1.5,0,0,0,149.3864035,144.5396867,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2020,1,1,1,2.5,0,0,0,128.8620463,138.9974401,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2020,1,1,1,3.5,0,0,0,112.1129554,131.7177222,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,2020,1,1,1,4.5,0,0,0,98.01204699,123.5684509,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,2020,1,1,1,5.5,0,0,0,85.46078166,115.13516,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,2020,1,1,1,6.5,0,0,0,73.6411777,106.837256,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,2020,1,1,1,7.5,0,0,0,61.96641617,99.02286108,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,2020,1,1,1,8.5,4.8,0.2,4.9,50.01559687,92.02420424,25,40,5.8,3.1,1.217017218,1.217080126,1.21713763,0.477638513,0.449369081,1.282717092,1.282786748,1.282850379,0.578402756,0.53342967,1.218374828,1.218437874,1.218495456,0.47883438,0.450499018,1.283612177,1.283681893,1.283745564,0.579887471,0.534823835,0.620503279,0.604985828
1,9,2020,1,1,1,9.5,22.7,1.5,22.6,37.5119084,86.1816672,25,12.74339006,5.8,3.3,6.205452225,6.206946228,6.208210709,2.129484392,2.010964405,6.597253657,6.598924602,6.600337361,2.456609615,2.2848271,6.205492041,6.206984785,6.208248609,2.113716262,1.995728553,6.597376173,6.599047582,6.600459571,2.44382637,2.272206665,2.651452498,2.58128456
1,10,2020,1,1,1,10.5,50.2,5.3,49.4,24.34282102,81.83775106,25,6.732824054,5.7,2.8,14.27678654,14.28215025,14.28780871,4.583678011,4.330917924,15.68565818,15.69207332,15.69883879,5.234254168,4.872435349,14.28448076,14.28985225,14.29551844,4.582581544,4.330022122,15.69114754,15.69756861,15.70433683,5.235278573,4.873268136,5.705291185,5.554435676
1,11,2020,1,1,1,11.5,82.9,0.8,82.7,10.59491497,79.298255,25,5.243737553,5.9,3.1,24.92320268,24.94189436,24.95897355,7.503384642,7.094311406,26.49542145,26.51645082,26.53566218,8.421290662,7.841460866,24.9410608,24.95977857,24.97687886,7.511520362,7.101944844,26.50795801,26.52900792,26.54823768,8.434486418,7.853597105,9.245734869,9.00756941
